JD640_Set.Servo_Set.Din_Pos0;%DB24.DBD0
JD640_Set.Servo_Set.Din_Pos1;%DB24.DBD4
JD640_Set.Servo_Set.Din_Pos2;%DB24.DBD8
JD640_Set.Servo_Set.Din_Pos3;%DB24.DBD12
JD640_Set.Servo_Set.Din_Speed0;%DB24.DBD16
JD640_Set.Servo_Set.Din_Speed1;%DB24.DBD20
JD640_Set.Servo_Set.Din_Speed2;%DB24.DBD24
JD640_Set.Servo_Set.Din_Speed3;%DB24.DBD28
JD640_Set.Servo_Set.CMD_q_Max;%DB24.DBW32
JD640_Set.Servo_Set.Home_Offset;%DB24.DBD34
JD640_Set.Servo_Set.Profile_Acc;%DB24.DBD38
JD640_Set.Servo_Set.Profile_Dec;%DB24.DBD42
JD640_Set.Servo_Set.Home_Speed;%DB24.DBD46
JD640_Set.Servo_Set.Home_Method;%DB24.DBB50
JD640_Set.Servo_Set.Home_OFF_M;%DB24.DBB51
JD640_Set.Home_Offset_1;%DB24.DBD52
JD640_Set.Home_Offset_2;%DB24.DBD56
JD640_Set.Lineer_Cetvel_Offset_1;%DB24.DBD60
JD640_Set.Lineer_Cetvel_Offset_2;%DB24.DBD64
JD640_Set.Current_Limit;%DB24.DBW68
JD640_Set.Current_Min;%DB24.DBW70
JD640_Set.Current_Max;%DB24.DBW72
JD640_Set.Current_Rate;%DB24.DBD74
JD640_Set.Sıfır_Pozisyonu;%DB24.DBD78
JD640_Set.Donus_Pozisyonu;%DB24.DBD82
JD640_Set.Baskı_Pozisyonu;%DB24.DBD86
JD640_Set.Kalıp_Degistirme_Pozisyonu;%DB24.DBD90
JD640_Set.Cekme_Baslama_Pozisyonu;%DB24.DBD94
JD640_Set.Hedef_Tolerans;%DB24.DBD98
JD640_Set.JOG_SPEED;%DB24.DBW102
JD640_Set.JOG_Positive_Limit;%DB24.DBW104
JD640_Set.JOG_Negative_Limit;%DB24.DBW106
JD640_Set.JOG_DISTANCE;%DB24.DBW108
JD640_Set.Pozisyon_Tolerans;%DB24.DBW110
JD640_Set.Sıfır_Pozisyonu_MIN;%DB24.DBW112
JD640_Set.Sıfır_Pozisyonu_MAX;%DB24.DBW114
JD640_Set.Donus_Pozisyonu_MIN;%DB24.DBW116
JD640_Set.Donus_Pozisyonu_MAX;%DB24.DBW118
JD640_Set.Baskı_Pozisyonu_MIN;%DB24.DBW120
JD640_Set.Baskı_Pozisyonu_MAX;%DB24.DBW122
JD640_Set.Kalıp_Degistirme_Pozisyonu_MIN;%DB24.DBW124
JD640_Set.Kalıp_Degistirme_Pozisyonu_MAX;%DB24.DBW126
JD640_Set.Cekme_Baslama_Pozisyonu_LSB;%DB24.DBW128
JD640_Set.Baskı_Offset;%DB24.DBD130
JD640_Set.Kalıp_Kalınlık;%DB24.DBD134
JD640_Set.Silikon_Kalınlık;%DB24.DBD138
JD640_Set.Yalın_Baskı_Pozisyonu;%DB24.DBW142
JD640_Set.Sıfır_Hızı;%DB24.DBW144
JD640_Set.Donus_Hızı;%DB24.DBW146
JD640_Set.Baskı_Hızı;%DB24.DBW148
JD640_Set.Kalıp_Degistirme_Hızı;%DB24.DBW150
JD640_Set.Baskı_Suresi;%DB24.DBD152
JD640_Set.Bekleme_Suresi;%DB24.DBD156
JD640_Set.Servo_Set;P#DB24.DBX0.0
TM2_Set.ALT_TABLA_SV;%DB11.DBW192
